Epoch,Epsilon,Reward,Average_Reward
1, 0.999,-2000.98,-2642.49
20,0.998,-2769.32,-2800.13
20,0.998,-2762.27,-2798.33
40,0.996,-29027.38,-4877.73
60,0.994,68.9,-3993.21
80,0.992,-2598.38,-3553.24
100,0.99,-2930.96,-3344.19

120,0.988,-2811.17,-3094.52

140,0.986,-2681.52,-3230.28

160,0.984,-2763.62,-3130.34

180,0.982,29.41,-3236.59

200,0.98,-2472.37,-3484.88

220,0.978,-2569.11,-3405.73

240,0.976,-2746.98,-3404.33

260,0.974,-2563.31,-3331.78

280,0.972,-2783.69,-3271.11

300,0.97,-1350.05,-3242.32

320,0.968,-4109.61,-3203.9

340,0.966,-2525.78,-3164.11

360,0.964,-4653.06,-3144.34

380,0.962,-3406.79,-3108.06

400,0.96,-4112.07,-3089.83

420,0.958,-2622.51,-3058.3

440,0.956,-2724.44,-3185.06

460,0.953,-2315.57,-3557.39

480,0.951,-2728.36,-3511.31

500,0.949,-2733.71,-3475.05

520,0.948,1000,-3454.87

540,0.946,-4190.59,-3628.67
560,0.944,-2627.37,-3593.8
580,0.942,-2497.81,-3837.0
600,0.94,-2784.56,-3800.78
620,0.938,-2807.12,-3798.15
640,0.936,-2758.61,-3960.31
660,0.934,-2154.52,-3915.98
680,0.932,-2525.63,-4083.16
700,0.93,-2759.84,-4191.2
720,0.928,-2702.0,-4201.46
740,0.926,-2470.51,-4177.09
760,0.924,-2435.27,-4152.29
780,0.922,-371.74,-4161.98
800,0.918,-2462.69,-4128.07
820,0.914,-2479.46,-4099.34
840,0.911,-2443.79,-4061.78
860,0.907,-4193.28,-4054.8
880,0.903,-2669.82,-4022.46
900,0.899,-2553.02,-3990.46
920,0.896,-2480.0,-3974.57
