episode,reward,cumulative reward
330,43.871,50.029
340,72.624,50.016
350,37.712,49.839
360,62.302,49.985
370,20.917,49.575
380,19.028,48.742
390,35.329,48.231
400,32.464,47.959
410,39.939,48.150
420,31.844,48.569
430,52.236,48.701
440,41.667,48.418
450,114.352,49.191
460,-7.547,48.048
470,-3.106,47.121
480,1.955,46.203
490,-6.710,45.363
500,7.725,45.007
510,27.339,44.631
520,22.049,44.253
530,21.707,43.919
540,26.590,43.592
550,26.746,43.285
560,27.599,42.946
570,28.363,42.639
580,25.643,42.344
590,24.535,42.061
600,26.040,41.780
