episode,timestep,reward
1,482,126.1418608632386
2,832,100.28913332240958
3,1154,99.0111229780985
4,1417,91.71298365785944
5,1740,92.88408585197303
6,2144,96.06171863652985
7,2639,92.47538272684024
8,3189,86.54171408084159
9,3711,82.723432228966
10,4048,82.70374312371924
11,4505,82.09798033450845
12,4940,84.4109450627314
13,5315,87.72764775704574
14,5542,81.50760500688334
15,6000,82.1614479336547
16,6465,83.79165993936262
17,6911,85.97776241352183
18,7361,86.53199510456548
19,7794,88.98841318708442
20,8282,87.96181249558444
21,8773,87.26322523893201
22,9263,89.44599200971317
23,9637,89.42201711791297
24,9914,88.32917775792833
25,10452,85.85058593880701
26,10824,86.11406571551728
27,11039,83.13743431195796
28,11276,80.4484834950266
29,11719,80.01938933378914
30,12134,80.68522847621249
31,12645,80.27391743552243
32,13051,81.77818491226185
33,13569,82.41853025222203
34,14040,81.75511181251196
35,14406,82.77722342145351
36,14779,83.36668671422507
37,15243,85.52518201384173
38,15686,86.31512548458939
39,16139,87.14915097623624
40,16589,88.06485792759982
41,17066,88.05465734832369
42,17516,88.79018948209793
43,17905,88.57765951710336
44,18276,88.7895617199763
45,18731,89.34971723905036
46,19138,89.74416872459842
47,19521,88.71772330854765
48,19882,89.2058598353155
49,20111,87.31105739785006
50,20633,86.96734627412546
51,21042,86.7008352358442
52,21427,87.07683280790158
53,21857,87.96736845703228
54,22247,88.13246559468271
55,22551,87.33477273205263
56,22994,87.56059231954207
57,23401,88.20099710529763
58,23799,88.20454106926279
59,24277,87.6999870903652
60,24656,88.15016814967758
61,25030,88.43254960703555
62,25493,87.97136735419421
63,25836,88.11452507620486
64,26216,88.5754310739211
65,26630,88.32612200329903
66,27082,88.63432677189267
67,27425,88.58467116852135
68,27877,88.99759987740383
69,28336,88.99146263707841
70,28660,89.07501951524327
71,28903,87.87163179993415
72,29238,87.59477122417776
73,29650,87.55625366981523
74,30001,86.85293090874075
75,30479,87.15578630499516
76,30808,86.41045000480524
77,31281,86.12645166934001
78,31609,86.15368709076787
79,31981,86.28369119950902
80,32411,86.56540647179776
81,32865,86.95679477794307
82,33207,86.88959659417107
83,33590,87.02839631942369
84,34163,86.95411493210557
85,34631,87.13209366351546
86,35047,87.25881801894671
87,35509,87.5682089269063
88,35868,87.37938491748996
89,36258,87.43024496462384
90,36681,87.56027432295255
91,37073,87.80096109319175
92,37399,87.75570523163047
93,37798,87.93217673438494
94,38126,87.97565994459609
95,38605,87.71973315718103
96,39084,88.1032486155454
97,39480,88.46714263512963
98,39781,87.79444951693895
99,40025,87.18589792431143
100,40380,87.23058596304638
101,40727,87.33573388412103
102,41118,87.48682214242079
103,41608,87.77869652191863
104,42004,87.9345179862916
105,42423,87.67107549949043
106,42756,87.70861949362003
107,43062,87.46515790968614
108,43530,87.73503868843066
109,43930,87.94716647482048
110,44233,87.91584672265897
111,44606,88.15650845449366
112,44994,88.24397832257533
113,45334,88.28146594740625
114,45722,88.334461211494
115,46070,88.45732303547004
116,46530,88.77887187086289
117,46958,89.07234251307177
118,47469,88.99815663876616
119,47811,89.05282378126306
120,48154,89.16909839667305
121,48552,89.40085602652539
122,48918,89.41922576575296
123,49250,89.55755173492129
124,49701,89.71965471990985
125,50001,89.60483384828382
126,50352,89.59930879126968
127,50683,89.60939159633833
128,51218,89.76592187964143
129,51629,89.79470677039026
130,52036,89.91011165836417
131,52589,90.53239664710581
132,52890,90.42572875190307
133,53281,90.6619742960098
134,53667,90.8046970103873
135,54081,90.93231553511204
136,54369,90.81565551591142
137,54824,90.85262836140632
138,55204,90.99738982513122
139,55662,90.98406235422391
140,55889,90.3960512671806
141,56287,90.47352894504661
142,56658,90.42326485938969
143,57050,90.46478352134348
144,57397,90.6403450719021
145,57731,90.69337623153953
146,58070,90.66169183145924
147,58459,90.76691119233266
148,58800,90.56128995650343
149,59251,91.06837863471796
150,59602,91.1631098023594
151,60001,91.25896037887485
152,60314,91.21320678466229
153,60709,91.24061360383746
154,61090,91.2954370496791
155,61679,91.96120211173007
156,62099,92.2744513375076
157,62483,92.47243803306091
158,62995,92.92188279328647
159,63422,93.1629355140542
160,63856,93.36847510380467
161,64209,93.46668029666918
162,64795,93.96416135675744
163,65154,94.13643801078473
164,65543,94.27295344573852
165,65926,94.38985814868482
166,66386,94.64373158596408
167,66728,94.57318862143111
168,67081,94.53133604413745
169,67374,94.39192224955858
170,67749,94.53997548543897
171,68170,94.8024068713095
172,68562,94.89940115731869
173,68886,94.76799009949126
174,69338,94.98552988244778
175,69716,95.11098100517879
176,70051,94.9395605895803
177,70511,95.19229055903598
178,71024,95.45895020747506
179,71414,95.68102880702064
180,71752,95.74346825980012
181,72122,95.95855286724333
182,72672,96.51350767974306
183,72861,96.03708957801507
184,73089,95.55839226217542
185,73351,95.18525165253702
186,73540,94.67380019646139
187,73747,94.2106049887362
188,73932,93.71507448924781
189,74189,93.39036246633715
190,74401,92.98922183953971
191,74586,92.48540381317649
192,74824,92.12657087781024
193,75026,91.64462293734958
194,75282,91.26880373774432
195,75541,90.8554475392225
196,75825,90.5368383775556
197,76056,90.10589024322907
198,76303,89.7816651755402
199,76563,89.4625483339461
200,76851,89.16256603684228
201,77167,88.8685794961085
202,77526,88.76446026829468
203,77822,88.4742471180246
204,78134,88.20691213700945
205,78429,87.92826179930023
206,78678,87.61447082368265
207,78970,87.34417566121934
208,79239,87.01573501179118
209,79459,86.67265234663985
210,79691,86.3441112874989
211,79915,85.96573380770029
212,80252,85.70974955479461
213,80545,85.45566058405427
214,80803,85.14683224292793
215,81019,84.777516895424
216,81295,84.51796740586195
217,81606,84.31958495078746
218,81816,83.93857658021146
219,82157,83.74035630528333
220,82380,83.43979717272333
221,82651,83.2006677618009
222,82900,82.94442186026221
223,83222,82.78598651037692
224,83509,82.51788638961757
225,83793,82.31821356091525
226,84072,82.05383814976383
227,84317,81.81760348455099
228,84587,81.60191748885633
229,84779,81.25098976013456
230,85056,81.01392156989333
231,85257,80.69589588411037
232,85442,80.36795721916434
233,85636,80.03135661370726
