
Starting Episode:  61 , Epsilon Now:  0.979 , Reward:  54.73 , Average Reward:  116.31
Starting Episode:  62 , Epsilon Now:  0.979 , Reward:  116.71 , Average Reward:  116.31
Starting Episode:  63 , Epsilon Now:  0.979 , Reward:  40.73 , Average Reward:  115.11
Starting Episode:  64 , Epsilon Now:  0.978 , Reward:  163.63 , Average Reward:  115.87
Starting Episode:  65 , Epsilon Now:  0.978 , Reward:  62.98 , Average Reward:  115.06
Starting Episode:  66 , Epsilon Now:  0.978 , Reward:  202.76 , Average Reward:  116.39
Starting Episode:  67 , Epsilon Now:  0.977 , Reward:  118.59 , Average Reward:  116.42
Starting Episode:  68 , Epsilon Now:  0.977 , Reward:  186.43 , Average Reward:  117.45
Starting Episode:  69 , Epsilon Now:  0.976 , Reward:  232.79 , Average Reward:  119.12
Starting Episode:  70 , Epsilon Now:  0.976 , Reward:  37.43 , Average Reward:  117.95
Starting Episode:  71 , Epsilon Now:  0.975 , Reward:  48.83 , Average Reward:  116.98
Starting Episode:  72 , Epsilon Now:  0.975 , Reward:  39.11 , Average Reward:  115.90
Starting Episode:  73 , Epsilon Now:  0.975 , Reward:  231.39 , Average Reward:  117.48
Starting Episode:  74 , Epsilon Now:  0.974 , Reward:  31.36 , Average Reward:  116.32
Starting Episode:  75 , Epsilon Now:  0.974 , Reward:  64.30 , Average Reward:  115.62
Starting Episode:  76 , Epsilon Now:  0.974 , Reward:  54.89 , Average Reward:  114.83
Starting Episode:  77 , Epsilon Now:  0.974 , Reward:  142.32 , Average Reward:  115.18
Starting Episode:  78 , Epsilon Now:  0.973 , Reward:  35.96 , Average Reward:  114.17
Starting Episode:  79 , Epsilon Now:  0.973 , Reward:  -9.52 , Average Reward:  112.60
Starting Episode:  80 , Epsilon Now:  0.973 , Reward:  250.79 , Average Reward:  114.33
Starting Episode:  81 , Epsilon Now:  0.973 , Reward:  46.20 , Average Reward:  113.49
Starting Episode:  82 , Epsilon Now:  0.972 , Reward:  57.86 , Average Reward:  112.81
Starting Episode:  83 , Epsilon Now:  0.972 , Reward:  131.35 , Average Reward:  113.03
Starting Episode:  84 , Epsilon Now:  0.972 , Reward:  39.49 , Average Reward:  112.16
Starting Episode:  85 , Epsilon Now:  0.971 , Reward:  24.13 , Average Reward:  111.12
Starting Episode:  86 , Epsilon Now:  0.971 , Reward:  68.42 , Average Reward:  110.62
Starting Episode:  87 , Epsilon Now:  0.971 , Reward:  49.78 , Average Reward:  109.93
Starting Episode:  88 , Epsilon Now:  0.971 , Reward:  63.31 , Average Reward:  109.40
Starting Episode:  89 , Epsilon Now:  0.971 , Reward:  94.96 , Average Reward:  109.23
Starting Episode:  90 , Epsilon Now:  0.970 , Reward:  160.07 , Average Reward:  109.80
Starting Episode:  91 , Epsilon Now:  0.970 , Reward:  193.56 , Average Reward:  110.72
Starting Episode:  92 , Epsilon Now:  0.969 , Reward:  88.91 , Average Reward:  110.48
Starting Episode:  93 , Epsilon Now:  0.969 , Reward:  47.12 , Average Reward:  109.80
Starting Episode:  94 , Epsilon Now:  0.968 , Reward:  213.85 , Average Reward:  110.91
Starting Episode:  95 , Epsilon Now:  0.968 , Reward:  62.68 , Average Reward:  110.40
Starting Episode:  96 , Epsilon Now:  0.968 , Reward:  92.24 , Average Reward:  110.21
Starting Episode:  97 , Epsilon Now:  0.967 , Reward:  52.98 , Average Reward:  109.62
Starting Episode:  98 , Epsilon Now:  0.967 , Reward:  110.41 , Average Reward:  109.63
